start,end,num_points,flow_mean,pressure_mean,states,freqs,efficiency_mean,kwt_mean,all_feasible
2026-07-10 00:15:00,2026-07-10 00:45:00,1,3134.5,0.3,1001101,46 0 0 44 50 0 50,52.61,152.12,True
2026-07-10 00:45:00,2026-07-10 01:15:00,1,3195.0,0.3,1001101,46 0 0 46 50 0 50,52.53,152.36,True
2026-07-10 01:15:00,2026-07-10 02:15:00,2,3173.3,0.3,1001101,45 0 0 47 50 0 50,52.56,152.28,True
2026-07-10 02:15:00,2026-07-10 02:45:00,1,3125.9,0.3,1001101,45 0 0 45 50 0 50,52.63,152.06,True
2026-07-10 02:45:00,2026-07-10 03:15:00,1,3043.0,0.3,1001101,49 0 0 31 50 0 50,52.83,151.48,True
2026-07-10 03:15:00,2026-07-10 03:45:00,1,2946.4,0.3,1001101,47 0 0 30 50 0 50,53.08,150.78,True
2026-07-10 03:45:00,2026-07-10 04:45:00,2,2848.7,0.3,1001101,44 0 0 31 50 0 50,53.09,150.74,True
2026-07-10 04:45:00,2026-07-10 05:15:00,1,2812.6,0.33,1001101,46 0 0 43 45 0 50,53.93,163.86,True
2026-07-10 05:15:00,2026-07-10 05:45:00,1,2752.6,0.33,1001101,45 0 0 44 43 0 50,53.88,164.02,True
2026-07-10 05:45:00,2026-07-10 06:15:00,1,2756.2,0.33,1001101,45 0 0 42 44 0 50,53.88,164.01,True
2026-07-10 06:15:00,2026-07-10 06:45:00,1,2721.4,0.33,1001101,42 0 0 46 43 0 50,53.84,164.14,True
2026-07-10 06:45:00,2026-07-10 07:15:00,1,2635.7,0.33,1001101,36 0 0 48 43 0 50,53.73,164.48,True
2026-07-10 07:15:00,2026-07-10 07:45:00,1,2681.5,0.33,1001101,41 0 0 45 43 0 50,53.8,164.25,True
2026-07-10 07:45:00,2026-07-10 08:15:00,1,2712.2,0.33,1001101,44 0 0 43 43 0 50,53.83,164.17,True
2026-07-10 08:15:00,2026-07-10 08:45:00,1,2744.5,0.33,1001101,44 0 0 45 43 0 50,53.87,164.04,True
2026-07-10 08:45:00,2026-07-10 10:45:00,4,2855.6,0.33,1001101,46 0 0 43 45 0 50,53.93,163.86,True
2026-07-10 10:45:00,2026-07-10 11:15:00,1,3022.7,0.33,1001101,46 0 0 45 45 0 50,53.93,163.87,True
2026-07-10 11:15:00,2026-07-10 11:45:00,1,3131.3,0.33,1001101,48 0 0 44 50 0 50,53.78,164.32,True
2026-07-10 11:45:00,2026-07-10 12:15:00,1,3385.3,0.33,1101101,50 39 0 30 50 0 50,52.74,167.56,True
2026-07-10 12:15:00,2026-07-10 13:15:00,2,3470.6,0.33,0100101,0 50 0 0 50 0 50,53.26,165.93,False
2026-07-10 13:15:00,2026-07-10 13:45:00,1,3375.7,0.33,1101101,50 37 0 30 50 0 50,52.77,167.48,True
2026-07-10 13:45:00,2026-07-10 14:15:00,1,3056.7,0.33,1001101,47 0 0 43 47 0 50,53.91,163.94,True
2026-07-10 14:15:00,2026-07-10 14:45:00,1,2760.8,0.33,0011100,0 0 50 44 50 0 0,53.9,163.94,True
2026-07-10 14:45:00,2026-07-10 15:15:00,1,2597.1,0.33,0011100,0 0 47 42 50 0 0,54.02,163.59,True
2026-07-10 15:15:00,2026-07-10 15:45:00,1,2294.5,0.33,0011100,0 0 46 40 47 0 0,53.82,164.19,True
2026-07-10 15:45:00,2026-07-10 16:15:00,1,2133.9,0.33,0011100,0 0 45 41 43 0 0,53.27,165.89,True
2026-07-10 16:15:00,2026-07-10 16:45:00,1,2071.9,0.33,0011100,0 0 45 42 42 0 0,53.05,166.58,True
2026-07-10 16:45:00,2026-07-10 17:45:00,2,1934.0,0.33,0011100,0 0 37 50 39 0 0,52.57,168.11,True
2026-07-10 17:45:00,2026-07-10 18:15:00,1,1959.4,0.33,0011100,0 0 37 50 40 0 0,52.66,167.8,True
2026-07-10 18:15:00,2026-07-10 18:45:00,1,1948.6,0.33,0011100,0 0 36 50 40 0 0,52.66,167.82,True
2026-07-10 18:45:00,2026-07-10 19:15:00,1,1889.1,0.33,0011100,0 0 36 50 37 0 0,52.4,168.64,True
2026-07-10 19:15:00,2026-07-10 20:15:00,2,1932.6,0.33,0011100,0 0 37 50 39 0 0,52.57,168.11,True
2026-07-10 20:15:00,2026-07-10 20:45:00,1,1946.2,0.33,0011100,0 0 36 50 40 0 0,52.66,167.82,True
2026-07-10 20:45:00,2026-07-10 21:15:00,1,2155.5,0.33,0011100,0 0 45 39 44 0 0,53.36,165.63,True
2026-07-10 21:15:00,2026-07-10 21:45:00,1,2344.6,0.33,0011100,0 0 46 41 48 0 0,53.9,163.95,True
2026-07-10 21:45:00,2026-07-10 22:15:00,1,2586.7,0.33,0011100,0 0 47 42 50 0 0,54.02,163.59,True
2026-07-10 22:15:00,2026-07-10 22:45:00,1,2901.7,0.33,1001101,46 0 0 43 45 0 50,53.93,163.86,True
2026-07-10 22:45:00,2026-07-10 23:15:00,1,3020.4,0.3,1001101,48 0 0 32 50 0 50,52.92,151.24,True
2026-07-10 23:15:00,2026-07-10 23:45:00,1,3169.7,0.3,1001101,45 0 0 47 50 0 50,52.56,152.28,True
2026-07-10 23:45:00,2026-07-11 00:15:00,1,3199.8,0.3,1001101,44 0 0 49 50 0 50,52.48,152.51,True
