指标,模型/目标,样本数,均值,中位数,方差,标准差,最小值,最大值
MAE,170:1_瞬时流量,41,62.6029,59.83,222.1325,14.9041,37.13,96.42
RMSE,170:1_瞬时流量,41,83.6695,81.07,342.4332,18.505,46.13,125.99
MAPE,170:1_瞬时流量,41,3.3815,3.54,0.7744,0.88,1.78,4.97
R²,170:1_瞬时流量,41,0.8904,0.9113,0.006,0.0773,0.6222,0.9696
MAE,170:2_瞬时流量,41,17.8598,17.32,26.8956,5.1861,10.64,33.05
RMSE,170:2_瞬时流量,41,24.1641,22.91,44.6236,6.6801,13.87,39.94
MAPE,170:2_瞬时流量,41,3.9793,3.76,1.6966,1.3025,2.25,7.58
R²,170:2_瞬时流量,41,0.8713,0.9104,0.02,0.1416,0.3685,0.9761
MAE,70:3_瞬时流量,41,8.73,8.15,28.1171,5.3026,1.11,20.71
RMSE,70:3_瞬时流量,41,16.928,15.79,45.8251,6.7694,5.67,29.09
MAPE,70:3_瞬时流量,41,3.6895,3.55,1.5579,1.2481,1.87,7.75
R²,70:3_瞬时流量,41,0.9931,0.9951,0.0,0.0059,0.9701,0.9986
MAE,flowtotal(总和),41,76.048,71.9,332.3449,18.2303,40.47,125.68
RMSE,flowtotal(总和),41,101.919,97.99,465.4294,21.5738,51.19,157.29
MAPE,flowtotal(总和),41,3.0534,3.04,0.6565,0.8102,1.47,4.81
R²,flowtotal(总和),41,0.9316,0.9431,0.0021,0.0463,0.7931,0.98
MAE,总管效率_pct,41,2.1644,2.18,0.0359,0.1896,1.82,2.65
RMSE,总管效率_pct,41,2.7693,2.77,0.0617,0.2483,2.3,3.4
MAPE,总管效率_pct,41,4.4371,4.54,0.1774,0.4212,3.63,5.31
R²,总管效率_pct,41,0.2363,0.2126,0.0134,0.1158,-0.075,0.5099
