指标,模型/目标,样本数,均值,中位数,方差,标准差,最小值,最大值
MAE,170:1_瞬时流量,71,57.1187,52.63,227.5122,15.0835,37.12,99.92
RMSE,170:1_瞬时流量,71,78.2477,73.88,377.9265,19.4403,51.39,130.97
MAPE,170:1_瞬时流量,71,3.1601,2.92,0.9278,0.9632,1.8,6.28
R²,170:1_瞬时流量,71,0.9048,0.9295,0.0055,0.0739,0.5589,0.9787
MAE,170:2_瞬时流量,71,15.7718,15.36,15.4351,3.9288,9.44,25.81
RMSE,170:2_瞬时流量,71,21.4017,21.04,23.1226,4.8086,12.71,35.05
MAPE,170:2_瞬时流量,71,3.6797,3.32,1.631,1.2771,1.89,7.28
R²,170:2_瞬时流量,71,0.9283,0.9487,0.003,0.0548,0.6847,0.9774
MAE,70:3_瞬时流量,71,6.552,5.42,22.0146,4.692,0.1,26.19
RMSE,70:3_瞬时流量,71,13.1345,12.49,40.1802,6.3388,1.82,36.67
MAPE,70:3_瞬时流量,71,3.228,3.03,0.7931,0.8906,1.93,6.36
R²,70:3_瞬时流量,71,0.9932,0.9971,0.0003,0.0174,0.8905,0.9991
MAE,flowtotal(总和),71,68.4027,65.11,295.8025,17.1989,41.94,125.57
RMSE,flowtotal(总和),71,93.2272,88.59,467.1845,21.6145,61.29,158.84
MAPE,flowtotal(总和),71,2.879,2.68,0.7805,0.8835,1.49,6.07
R²,flowtotal(总和),71,0.9446,0.9602,0.0018,0.043,0.7788,0.9879
MAE,总管效率_pct,71,2.1952,2.19,0.0321,0.1792,1.81,2.58
RMSE,总管效率_pct,71,2.808,2.82,0.0557,0.236,2.28,3.31
MAPE,总管效率_pct,71,4.539,4.55,0.1785,0.4225,3.62,5.47
R²,总管效率_pct,71,0.2676,0.2495,0.014,0.1184,-0.1002,0.5327
