泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,170:1_瞬时流量,68,16.31,16.77,-0.8638,0.84
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,170:2_瞬时流量,68,6.72,6.94,-26.3271,1.43
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,70:3_瞬时流量,68,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,总管效率_pct,68,3.97,4.18,-0.2676,7.54
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,170:1_瞬时流量,68,18.22,23.5,-0.4124,0.96
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,170:2_瞬时流量,68,9.21,9.52,0.0217,1.86
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,70:3_瞬时流量,68,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,总管效率_pct,68,2.24,2.68,0.0302,4.55
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,170:1_瞬时流量,54,21.09,24.17,-0.0746,1.11
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,170:2_瞬时流量,54,12.2,13.91,-1.3467,2.46
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,70:3_瞬时流量,54,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,总管效率_pct,54,1.53,1.71,-0.0343,3.16
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,170:1_瞬时流量,70,12.34,15.83,0.5754,0.64
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,170:2_瞬时流量,70,10.66,12.75,0.0859,2.11
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,70:3_瞬时流量,70,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,总管效率_pct,70,1.31,1.41,-1.3124,2.73
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,170:1_瞬时流量,89,36.78,44.42,-2.3211,1.96
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,170:2_瞬时流量,89,3.85,4.54,-0.4114,0.73
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,70:3_瞬时流量,89,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,总管效率_pct,89,2.72,2.97,-0.1037,5.58
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,170:1_瞬时流量,105,40.82,49.08,-0.4536,2.17
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,170:2_瞬时流量,105,3.54,4.21,0.2809,0.66
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,70:3_瞬时流量,105,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,总管效率_pct,105,1.84,2.37,-0.0843,3.66
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,170:1_瞬时流量,68,26.19,31.68,-0.1056,1.35
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,170:2_瞬时流量,68,7.36,8.59,-0.0995,1.37
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,70:3_瞬时流量,68,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,总管效率_pct,68,1.47,1.63,-0.3823,2.93
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,170:1_瞬时流量,196,35.68,42.93,0.0965,1.86
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,170:2_瞬时流量,196,5.7,8.52,-0.2402,1.06
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,70:3_瞬时流量,196,0.0,0.0,0.0,
