泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0000110,0.0|0.0|0.0|0.0|44.7|48.8|0.0,170:1_瞬时流量,58,12.84,15.52,-2.9304,1.13
0000110,0.0|0.0|0.0|0.0|44.7|48.8|0.0,170:2_瞬时流量,58,1.78,2.15,-3.1019,0.48
0000110,0.0|0.0|0.0|0.0|44.7|48.8|0.0,70:3_瞬时流量,58,0.0,0.0,1.0,
0000110,0.0|0.0|0.0|0.0|44.7|48.8|0.0,总管效率_pct,58,2.58,2.71,-2.9273,5.43
0000110,0.0|0.0|0.0|0.0|45.8|48.1|0.0,170:1_瞬时流量,74,22.16,26.82,-0.2008,1.84
0000110,0.0|0.0|0.0|0.0|45.8|48.1|0.0,170:2_瞬时流量,74,4.69,5.23,-0.8003,1.24
0000110,0.0|0.0|0.0|0.0|45.8|48.1|0.0,70:3_瞬时流量,74,0.0,0.0,1.0,
0000110,0.0|0.0|0.0|0.0|45.8|48.1|0.0,总管效率_pct,74,2.41,2.85,-0.0562,4.8
0000110,0.0|0.0|0.0|0.0|46.8|49.2|0.0,170:1_瞬时流量,90,20.2,31.83,-0.3827,1.59
0000110,0.0|0.0|0.0|0.0|46.8|49.2|0.0,170:2_瞬时流量,90,2.13,2.36,-0.8104,0.54
0000110,0.0|0.0|0.0|0.0|46.8|49.2|0.0,70:3_瞬时流量,90,0.0,0.0,0.0,
0000110,0.0|0.0|0.0|0.0|46.8|49.2|0.0,总管效率_pct,90,2.02,3.0,-0.3621,3.73
0000110,0.0|0.0|0.0|0.0|47.9|49.4|0.0,170:1_瞬时流量,55,26.38,27.54,-0.5864,2.15
0000110,0.0|0.0|0.0|0.0|47.9|49.4|0.0,170:2_瞬时流量,55,2.37,2.68,-0.3889,0.59
0000110,0.0|0.0|0.0|0.0|47.9|49.4|0.0,70:3_瞬时流量,55,0.0,0.0,0.0,
0000110,0.0|0.0|0.0|0.0|47.9|49.4|0.0,总管效率_pct,55,3.27,3.93,-1.901,7.31
0001010,0.0|0.0|0.0|40.1|0.0|50.0|0.0,170:1_瞬时流量,314,34.78,36.78,-12.5647,2.46
0001010,0.0|0.0|0.0|40.1|0.0|50.0|0.0,170:2_瞬时流量,314,5.07,6.24,-1.5259,1.63
0001010,0.0|0.0|0.0|40.1|0.0|50.0|0.0,70:3_瞬时流量,314,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|40.1|0.0|50.0|0.0,总管效率_pct,314,4.48,6.16,-0.013,9.42
0001010,0.0|0.0|0.0|40.2|0.0|50.0|0.0,170:1_瞬时流量,414,27.67,30.54,-5.0359,1.94
0001010,0.0|0.0|0.0|40.2|0.0|50.0|0.0,170:2_瞬时流量,414,4.43,5.57,-0.6904,1.41
0001010,0.0|0.0|0.0|40.2|0.0|50.0|0.0,70:3_瞬时流量,414,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|40.2|0.0|50.0|0.0,总管效率_pct,414,3.45,4.41,0.018,7.41
0001010,0.0|0.0|0.0|40.5|0.0|50.0|0.0,170:1_瞬时流量,406,28.97,34.32,-1.8972,2.03
0001010,0.0|0.0|0.0|40.5|0.0|50.0|0.0,170:2_瞬时流量,406,7.56,9.11,-1.877,2.44
0001010,0.0|0.0|0.0|40.5|0.0|50.0|0.0,70:3_瞬时流量,406,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|40.5|0.0|50.0|0.0,总管效率_pct,406,2.79,3.3,0.0499,5.89
0001010,0.0|0.0|0.0|41.2|0.0|50.0|0.0,170:1_瞬时流量,979,12.96,18.47,0.2936,0.88
0001010,0.0|0.0|0.0|41.2|0.0|50.0|0.0,170:2_瞬时流量,979,4.33,5.52,-0.1549,1.35
0001010,0.0|0.0|0.0|41.2|0.0|50.0|0.0,70:3_瞬时流量,979,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|41.2|0.0|50.0|0.0,总管效率_pct,979,2.51,2.79,0.0318,5.3
0001010,0.0|0.0|0.0|41.3|0.0|50.0|0.0,170:1_瞬时流量,1066,15.02,19.27,0.3265,1.02
0001010,0.0|0.0|0.0|41.3|0.0|50.0|0.0,170:2_瞬时流量,1066,4.26,5.33,-0.1504,1.33
0001010,0.0|0.0|0.0|41.3|0.0|50.0|0.0,70:3_瞬时流量,1066,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|41.3|0.0|50.0|0.0,总管效率_pct,1066,2.6,2.95,0.0038,5.45
0001010,0.0|0.0|0.0|41.4|0.0|50.0|0.0,170:1_瞬时流量,1494,17.31,21.82,0.2866,1.18
0001010,0.0|0.0|0.0|41.4|0.0|50.0|0.0,170:2_瞬时流量,1494,4.97,6.42,-0.1381,1.55
0001010,0.0|0.0|0.0|41.4|0.0|50.0|0.0,70:3_瞬时流量,1494,0.0,0.0,1.0,
0001010,0.0|0.0|0.0|41.4|0.0|50.0|0.0,总管效率_pct,1494,2.86,3.33,0.0283,5.94
0001010,0.0|0.0|0.0|41.6|0.0|50.0|0.0,170:1_瞬时流量,1942,22.89,26.83,-0.4598,1.55
0001010,0.0|0.0|0.0|41.6|0.0|50.0|0.0,170:2_瞬时流量,1942,6.41,7.92,-0.0465,2.02
0001010,0.0|0.0|0.0|41.6|0.0|50.0|0.0,70:3_瞬时流量,1942,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|41.6|0.0|50.0|0.0,总管效率_pct,1942,3.19,3.91,-0.0298,6.62
0001010,0.0|0.0|0.0|41.9|0.0|50.0|0.0,170:1_瞬时流量,2158,25.29,28.83,-0.4016,1.69
0001010,0.0|0.0|0.0|41.9|0.0|50.0|0.0,170:2_瞬时流量,2158,6.51,8.12,0.0006,2.01
0001010,0.0|0.0|0.0|41.9|0.0|50.0|0.0,70:3_瞬时流量,2158,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|41.9|0.0|50.0|0.0,总管效率_pct,2158,2.96,3.51,-0.0054,6.35
0001010,0.0|0.0|0.0|42.7|0.0|50.0|0.0,170:1_瞬时流量,1737,20.68,24.81,0.1573,1.33
0001010,0.0|0.0|0.0|42.7|0.0|50.0|0.0,170:2_瞬时流量,1737,5.48,6.79,0.1179,1.65
0001010,0.0|0.0|0.0|42.7|0.0|50.0|0.0,70:3_瞬时流量,1737,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|42.7|0.0|50.0|0.0,总管效率_pct,1737,2.45,3.54,-0.0016,5.0
0001010,0.0|0.0|0.0|42.9|0.0|50.0|0.0,170:1_瞬时流量,1583,19.85,26.93,0.1962,1.29
0001010,0.0|0.0|0.0|42.9|0.0|50.0|0.0,170:2_瞬时流量,1583,6.15,7.51,0.0659,1.83
0001010,0.0|0.0|0.0|42.9|0.0|50.0|0.0,70:3_瞬时流量,1583,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|42.9|0.0|50.0|0.0,总管效率_pct,1583,2.78,3.66,0.0211,5.92
0001010,0.0|0.0|0.0|43.6|0.0|50.0|0.0,170:1_瞬时流量,1985,20.38,27.86,0.0019,1.28
0001010,0.0|0.0|0.0|43.6|0.0|50.0|0.0,170:2_瞬时流量,1985,6.41,7.9,0.2006,1.88
0001010,0.0|0.0|0.0|43.6|0.0|50.0|0.0,70:3_瞬时流量,1985,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|43.6|0.0|50.0|0.0,总管效率_pct,1985,3.26,4.24,-0.0018,6.82
0001010,0.0|0.0|0.0|43.9|0.0|50.0|0.0,170:1_瞬时流量,2775,21.66,28.78,0.5729,1.37
0001010,0.0|0.0|0.0|43.9|0.0|50.0|0.0,170:2_瞬时流量,2775,5.94,7.16,0.3887,1.76
0001010,0.0|0.0|0.0|43.9|0.0|50.0|0.0,70:3_瞬时流量,2775,0.0,0.01,0.0,
0001010,0.0|0.0|0.0|43.9|0.0|50.0|0.0,总管效率_pct,2775,2.52,3.05,0.005,5.27
0001010,0.0|0.0|0.0|44.3|0.0|50.0|0.0,170:1_瞬时流量,3085,25.64,32.71,0.5436,1.61
0001010,0.0|0.0|0.0|44.3|0.0|50.0|0.0,170:2_瞬时流量,3085,6.35,8.09,0.4387,1.9
0001010,0.0|0.0|0.0|44.3|0.0|50.0|0.0,70:3_瞬时流量,3085,0.0,0.01,0.0,
0001010,0.0|0.0|0.0|44.3|0.0|50.0|0.0,总管效率_pct,3085,2.76,3.36,0.1161,5.77
0001010,0.0|0.0|0.0|44.6|0.0|50.0|0.0,170:1_瞬时流量,2390,23.01,30.7,0.5131,1.42
0001010,0.0|0.0|0.0|44.6|0.0|50.0|0.0,170:2_瞬时流量,2390,6.56,8.38,0.3568,1.93
0001010,0.0|0.0|0.0|44.6|0.0|50.0|0.0,70:3_瞬时流量,2390,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|44.6|0.0|50.0|0.0,总管效率_pct,2390,2.27,2.89,-0.0282,4.84
0001010,0.0|0.0|0.0|45.0|0.0|50.0|0.0,170:1_瞬时流量,3336,24.21,35.2,0.4264,1.48
0001010,0.0|0.0|0.0|45.0|0.0|50.0|0.0,170:2_瞬时流量,3336,6.66,8.24,0.363,1.94
0001010,0.0|0.0|0.0|45.0|0.0|50.0|0.0,70:3_瞬时流量,3336,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|45.0|0.0|50.0|0.0,总管效率_pct,3336,2.54,3.39,-0.0463,5.09
0001010,0.0|0.0|0.0|47.1|0.0|50.0|0.0,170:1_瞬时流量,830,19.09,27.37,0.4101,1.09
0001010,0.0|0.0|0.0|47.1|0.0|50.0|0.0,170:2_瞬时流量,830,5.12,6.56,0.3304,1.42
0001010,0.0|0.0|0.0|47.1|0.0|50.0|0.0,70:3_瞬时流量,830,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|47.1|0.0|50.0|0.0,总管效率_pct,830,2.98,3.73,0.0376,6.13
0001010,0.0|0.0|0.0|47.5|0.0|50.0|0.0,170:1_瞬时流量,726,18.09,24.08,0.709,1.01
0001010,0.0|0.0|0.0|47.5|0.0|50.0|0.0,170:2_瞬时流量,726,5.84,7.03,0.351,1.61
0001010,0.0|0.0|0.0|47.5|0.0|50.0|0.0,70:3_瞬时流量,726,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|47.5|0.0|50.0|0.0,总管效率_pct,726,2.67,3.63,-0.0252,5.47
0001010,0.0|0.0|0.0|48.5|0.0|50.0|0.0,170:1_瞬时流量,656,19.86,27.69,0.4471,1.08
0001010,0.0|0.0|0.0|48.5|0.0|50.0|0.0,170:2_瞬时流量,656,5.96,7.06,0.3729,1.63
0001010,0.0|0.0|0.0|48.5|0.0|50.0|0.0,70:3_瞬时流量,656,0.0,0.0,0.0,
0001010,0.0|0.0|0.0|48.5|0.0|50.0|0.0,总管效率_pct,656,3.03,3.66,-0.0021,6.47
0001010,0.0|0.0|0.0|49.7|0.0|50.0|0.0,170:1_瞬时流量,647,31.26,35.16,0.0594,1.67
0001010,0.0|0.0|0.0|49.7|0.0|50.0|0.0,170:2_瞬时流量,647,7.13,8.77,0.187,1.97
0001010,0.0|0.0|0.0|49.7|0.0|50.0|0.0,70:3_瞬时流量,647,0.0,0.01,0.0,
0001010,0.0|0.0|0.0|49.7|0.0|50.0|0.0,总管效率_pct,647,2.41,2.87,0.2066,5.1
0001010,0.0|0.0|0.0|49.8|0.0|50.0|0.0,170:1_瞬时流量,660,32.45,37.85,0.2141,1.73
0001010,0.0|0.0|0.0|49.8|0.0|50.0|0.0,170:2_瞬时流量,660,6.85,9.02,0.2565,1.87
0001010,0.0|0.0|0.0|49.8|0.0|50.0|0.0,70:3_瞬时流量,660,0.0,0.01,0.0,
0001010,0.0|0.0|0.0|49.8|0.0|50.0|0.0,总管效率_pct,660,2.47,2.86,0.0014,4.99
0001011,0.0|0.0|0.0|46.5|0.0|50.0|50.0,170:1_瞬时流量,305,21.29,27.06,-2.8499,1.23
0001011,0.0|0.0|0.0|46.5|0.0|50.0|50.0,170:2_瞬时流量,305,3.74,4.64,0.2888,1.1
0001011,0.0|0.0|0.0|46.5|0.0|50.0|50.0,70:3_瞬时流量,305,7.34,9.08,0.9068,1.49
0001011,0.0|0.0|0.0|46.5|0.0|50.0|50.0,总管效率_pct,305,2.42,2.93,0.0492,4.51
0001011,0.0|0.0|0.0|47.3|0.0|50.0|50.0,170:1_瞬时流量,614,12.52,18.04,0.0699,0.7
0001011,0.0|0.0|0.0|47.3|0.0|50.0|50.0,170:2_瞬时流量,614,4.64,6.53,0.0358,1.38
0001011,0.0|0.0|0.0|47.3|0.0|50.0|50.0,70:3_瞬时流量,614,5.53,7.16,0.7552,1.11
0001011,0.0|0.0|0.0|47.3|0.0|50.0|50.0,总管效率_pct,614,1.52,2.17,-0.0846,2.8
0001011,0.0|0.0|0.0|47.6|0.0|50.0|50.0,170:1_瞬时流量,439,15.53,18.58,0.1991,0.86
0001011,0.0|0.0|0.0|47.6|0.0|50.0|50.0,170:2_瞬时流量,439,4.22,5.39,-0.288,1.22
0001011,0.0|0.0|0.0|47.6|0.0|50.0|50.0,70:3_瞬时流量,439,6.12,7.76,0.8543,1.24
0001011,0.0|0.0|0.0|47.6|0.0|50.0|50.0,总管效率_pct,439,2.06,2.76,-0.0209,3.84
