泵组状态,状态,训练样本,测试样本,频率组合总数,有效频率组合,训练频率组合,测试频率组合,训练轮数,训练时长_s,运行时间,170:1_瞬时流量_MAE,170:1_瞬时流量_RMSE,170:1_瞬时流量_MAPE(%),170:1_瞬时流量_R2,170:2_瞬时流量_MAE,170:2_瞬时流量_RMSE,170:2_瞬时流量_MAPE(%),170:2_瞬时流量_R2,70:3_瞬时流量_MAE,70:3_瞬时流量_RMSE,70:3_瞬时流量_MAPE(%),70:3_瞬时流量_R2,总管效率_pct_MAE,总管效率_pct_RMSE,总管效率_pct_MAPE(%),总管效率_pct_R2,flowtotal(总和)_MAE,flowtotal(总和)_RMSE,flowtotal(总和)_MAPE(%),flowtotal(总和)_R2,原因,样本数
0000110,ok,4572.0,277.0,295,24,291.0,4.0,150.0,14.8,2026-08-03 15:13:55,20.40999984741211,26.8799991607666,1.67,0.6637,2.7899999618530273,3.4000000953674316,0.73,0.9031,0.0,0.0,,0.0,2.490000009536743,3.109999895095825,5.08,0.1148,21.479999542236328,27.5,1.34,0.7521,,
0001010,ok,151124.0,29183.0,109,103,89.0,20.0,98.0,72.0,2026-08-03 15:15:08,22.40999984741211,29.239999771118164,1.42,0.9351,6.050000190734863,7.599999904632568,1.8,0.7539,0.0,0.0,,0.0,2.75,3.4700000286102295,5.73,0.0313,25.43000030517578,33.29999923706055,1.33,0.9327,,
0001011,ok,23589.0,3422.0,49,41,41.0,8.0,65.0,10.1,2026-08-03 15:15:19,12.59000015258789,16.799999237060547,0.69,0.8949,4.519999980926514,6.050000190734863,1.32,0.218,6.320000171661377,8.130000114440918,1.29,0.8706,2.0999999046325684,2.759999990463257,3.99,0.0039,15.100000381469727,19.770000457763672,0.57,0.8995,,
0001110,ok,36678.0,4371.0,919,175,884.0,35.0,118.0,27.3,2026-08-03 15:15:47,31.170000076293945,40.369998931884766,1.61,0.5371,9.569999694824219,14.649999618530273,2.04,0.9351,0.0,0.0,,0.0,2.359999895095825,2.940000057220459,4.93,0.2096,35.56999969482422,46.869998931884766,1.46,0.745,,
0001111,ok,22214.0,3095.0,910,145,881.0,29.0,122.0,19.5,2026-08-03 15:16:06,18.579999923706055,24.790000915527344,0.98,0.9621,6.039999961853027,7.940000057220459,1.24,0.9385,6.130000114440918,8.09000015258789,1.24,0.6793,2.009999990463257,2.8299999237060547,3.79,0.1108,21.719999313354492,29.559999465942383,0.75,0.9538,,
0010010,ok,59346.0,9929.0,76,76,61.0,15.0,150.0,49.5,2026-08-03 15:16:57,19.43000030517578,26.18000030517578,1.31,0.9379,6.460000038146973,8.380000114440918,1.43,0.9682,0.0,0.0,,0.0,2.809999942779541,3.5299999713897705,6.13,0.0608,22.219999313354492,29.40999984741211,1.14,0.962,,
0010011,ok,16557.0,865.0,39,28,34.0,5.0,120.0,17.4,2026-08-03 15:17:14,28.760000228881836,36.02000045776367,1.77,0.4566,5.650000095367432,7.400000095367432,1.07,0.7698,5.96999979019165,7.449999809265137,1.17,0.7799,2.0399999618530273,2.5,4.17,-0.057,31.290000915527344,40.41999816894531,1.17,0.5991,,
0010110,skipped,,,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 3 < 10,592.0
0011010,skipped,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,18.0
0011110,skipped,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,57.0
0101010,ok,57081.0,7716.0,1064,255,1013.0,51.0,128.0,44.0,2026-08-03 15:17:59,18.18000030517578,23.540000915527344,0.84,0.943,5.650000095367432,7.25,1.2,0.9153,0.0,0.0,,0.0,2.200000047683716,2.759999990463257,4.5,0.0622,19.649999618530273,25.309999465942383,0.75,0.9567,,
0101011,ok,111232.0,22805.0,1540,537,1433.0,107.0,150.0,100.1,2026-08-03 15:19:40,14.390000343322754,18.399999618530273,0.66,0.9665,5.329999923706055,6.840000152587891,1.16,0.9402,6.820000171661377,8.680000305175781,1.38,0.7623,1.8600000143051147,2.2699999809265137,3.67,0.0441,17.75,22.229999542236328,0.56,0.9706,,
