Header_Press,Liquid_Level,Flow_Lower,Flow_Upper,Pump_Group,P1_Freq,P2_Freq,P3_Freq,P4_Freq,P5_Freq,P6_Freq,P7_Freq,Total_Flow,Flow_Deviation,Eff,PCTW,Confidence,Dev_Confidence,Total_Confidence,Appear_Count
0.3,2.0,2100.0,2300.0,0000011,0,0,0,0,0,50,50,2064.0,-136.0,47.74,176.67,0.0,0.09,0.05,0
0.3,2.0,2100.0,2300.0,0000101,0,0,0,0,50,0,50,2082.0,-118.0,50.37,167.43,0.0,0.21,0.11,0
0.3,2.0,2100.0,2300.0,0000110,0,0,0,0,50,50,0,1905.7,-294.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2100.0,2300.0,0001001,0,0,0,50,0,0,50,2023.6,-176.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2100.0,2300.0,0001010,0,0,0,47,0,50,0,2068.9,-131.1,48.33,174.49,1.0,0.13,0.56,183088
0.3,2.0,2100.0,2300.0,0001100,0,0,0,50,50,0,0,1957.6,-242.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2100.0,2300.0,0010001,0,0,50,0,0,0,50,2215.0,15.0,48.85,172.64,0.0,0.9,0.45,0
0.3,2.0,2100.0,2300.0,0010010,0,0,47,0,0,50,0,2136.0,-64.0,46.71,180.55,1.0,0.57,0.79,72227
0.3,2.0,2100.0,2300.0,0010100,0,0,50,0,50,0,0,2098.8,-101.2,49.77,169.45,0.0,0.33,0.16,0
0.3,2.0,2100.0,2300.0,0011000,0,0,49,50,0,0,0,2065.0,-135.0,48.2,174.97,1.0,0.1,0.55,98122
0.3,2.0,2100.0,2300.0,0100001,0,50,0,0,0,0,50,2170.9,-29.1,49.54,170.24,0.0,0.81,0.4,0
0.3,2.0,2100.0,2300.0,0100010,0,50,0,0,0,50,0,2143.9,-56.1,47.63,177.09,0.0,0.63,0.31,0
0.3,2.0,2100.0,2300.0,0100100,0,50,0,0,50,0,0,2237.9,37.9,52.05,162.02,0.0,0.75,0.37,0
0.3,2.0,2100.0,2300.0,0101000,0,50,0,50,0,0,0,2166.8,-33.2,49.27,171.18,0.0,0.78,0.39,0
0.3,2.0,2100.0,2300.0,0110000,0,50,30,0,0,0,0,2115.4,-84.6,48.3,174.62,0.0,0.44,0.22,0
0.3,2.0,2100.0,2300.0,1000001,50,0,0,0,0,0,50,2090.6,-109.4,47.74,176.66,0.0,0.27,0.14,0
0.3,2.0,2100.0,2300.0,1000010,47,0,0,0,0,50,0,2096.7,-103.3,46.24,182.39,1.0,0.31,0.66,287155
0.3,2.0,2100.0,2300.0,1000100,50,0,0,0,50,0,0,2110.3,-89.7,49.51,170.34,0.0,0.4,0.2,0
0.3,2.0,2100.0,2300.0,1001000,48,0,0,48,0,0,0,2113.1,-86.9,48.43,174.13,1.0,0.42,0.71,177419
0.3,2.0,2100.0,2300.0,1010000,31,0,50,0,0,0,0,2054.2,-145.8,47.49,177.58,0.0,0.03,0.01,0
0.3,2.0,2100.0,2300.0,1100000,50,50,0,0,0,0,0,2182.0,-18.0,47.78,176.52,1.0,0.88,0.94,13
0.3,2.0,2200.0,2400.0,0000011,0,0,0,0,0,50,50,2064.0,-236.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,0000101,0,0,0,0,50,0,50,2082.0,-218.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,0000110,0,0,0,0,50,50,0,1905.7,-394.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2200.0,2400.0,0001001,0,0,0,50,0,0,50,2023.6,-276.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,0001010,0,0,0,49,0,50,0,2203.2,-96.8,47.95,175.88,1.0,0.35,0.68,183088
0.3,2.0,2200.0,2400.0,0001100,0,0,0,50,50,0,0,1957.6,-342.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2200.0,2400.0,0010001,0,0,50,0,0,0,50,2215.0,-85.0,48.85,172.64,0.0,0.43,0.22,0
0.3,2.0,2200.0,2400.0,0010010,0,0,48,0,0,50,0,2217.6,-82.4,46.6,180.98,1.0,0.45,0.73,72227
0.3,2.0,2200.0,2400.0,0010100,0,0,50,0,50,0,0,2098.8,-201.2,49.77,169.45,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,0011000,0,0,50,50,0,0,0,2088.6,-211.4,48.07,175.46,1.0,0.0,0.5,98122
0.3,2.0,2200.0,2400.0,0100001,0,50,0,0,0,0,50,2170.9,-129.1,49.54,170.24,0.0,0.14,0.07,0
0.3,2.0,2200.0,2400.0,0100010,0,50,0,0,0,50,0,2143.9,-156.1,47.63,177.09,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,0100100,0,50,0,0,50,0,0,2237.9,-62.1,52.05,162.02,0.0,0.59,0.29,0
0.3,2.0,2200.0,2400.0,0101000,0,50,0,50,0,0,0,2166.8,-133.2,49.27,171.18,0.0,0.11,0.06,0
0.3,2.0,2200.0,2400.0,0110000,0,50,38,0,0,0,0,2152.5,-147.5,48.22,174.9,0.0,0.02,0.01,0
0.3,2.0,2200.0,2400.0,1000001,50,0,0,0,0,0,50,2090.6,-209.4,47.74,176.66,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,1000010,48,0,0,0,0,50,0,2168.3,-131.7,46.04,183.17,1.0,0.12,0.56,287155
0.3,2.0,2200.0,2400.0,1000100,50,0,0,0,50,0,0,2110.3,-189.7,49.51,170.34,0.0,0.0,0.0,0
0.3,2.0,2200.0,2400.0,1001000,48,0,0,49,0,0,0,2153.0,-147.0,48.42,174.18,1.0,0.02,0.51,177419
0.3,2.0,2200.0,2400.0,1010000,35,0,50,0,0,0,0,2168.4,-131.6,47.26,178.45,0.0,0.12,0.06,0
0.3,2.0,2200.0,2400.0,1100000,50,50,0,0,0,0,0,2182.0,-118.0,47.78,176.52,1.0,0.21,0.61,13
0.3,2.0,2300.0,2500.0,0000011,0,0,0,0,0,50,50,2064.0,-336.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0000101,0,0,0,0,50,0,50,2082.0,-318.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0000110,0,0,0,0,50,50,0,1905.7,-494.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2300.0,2500.0,0001001,0,0,0,50,0,0,50,2023.6,-376.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0001010,0,0,0,50,0,50,0,2232.1,-167.9,47.82,176.36,1.0,0.0,0.5,183088
0.3,2.0,2300.0,2500.0,0001100,0,0,0,50,50,0,0,1957.6,-442.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2300.0,2500.0,0010001,0,0,50,0,0,0,50,2215.0,-185.0,48.85,172.64,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0010010,0,0,49,0,0,50,0,2261.2,-138.8,46.49,181.4,1.0,0.07,0.54,72227
0.3,2.0,2300.0,2500.0,0010100,0,0,50,0,50,0,0,2098.8,-301.2,49.77,169.45,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0011000,0,0,50,50,0,0,0,2088.6,-311.4,48.07,175.46,1.0,0.0,0.5,98122
0.3,2.0,2300.0,2500.0,0100001,0,50,0,0,0,0,50,2170.9,-229.1,49.54,170.24,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0100010,0,50,0,0,0,50,0,2143.9,-256.1,47.63,177.09,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0100100,0,50,0,0,50,0,0,2237.9,-162.1,52.05,162.02,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0101000,0,50,0,50,0,0,0,2166.8,-233.2,49.27,171.18,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,0110000,0,50,50,0,0,0,0,2209.7,-190.3,48.15,175.14,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,1000001,50,0,0,0,0,0,50,2090.6,-309.4,47.74,176.66,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,1000010,50,0,0,0,0,50,0,2245.2,-154.8,45.77,184.28,1.0,0.0,0.5,287155
0.3,2.0,2300.0,2500.0,1000100,50,0,0,0,50,0,0,2110.3,-289.7,49.51,170.34,0.0,0.0,0.0,0
0.3,2.0,2300.0,2500.0,1001000,50,0,0,50,0,0,0,2259.0,-141.0,48.18,175.04,1.0,0.06,0.53,177419
0.3,2.0,2300.0,2500.0,1010000,38,0,50,0,0,0,0,2265.1,-134.9,46.9,179.84,0.0,0.1,0.05,0
0.3,2.0,2300.0,2500.0,1100000,50,50,0,0,0,0,0,2182.0,-218.0,47.78,176.52,1.0,0.0,0.5,13
0.3,2.0,2400.0,2600.0,0000011,0,0,0,0,0,50,50,2064.0,-436.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0000101,0,0,0,0,50,0,50,2082.0,-418.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0000110,0,0,0,0,50,50,0,1905.7,-594.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2400.0,2600.0,0001001,0,0,0,50,0,0,50,2023.6,-476.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0001010,0,0,0,50,0,50,0,2232.1,-267.9,47.82,176.36,1.0,0.0,0.5,183088
0.3,2.0,2400.0,2600.0,0001100,0,0,0,50,50,0,0,1957.6,-542.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2400.0,2600.0,0010001,0,0,50,0,0,0,50,2215.0,-285.0,48.85,172.64,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0010010,0,0,50,0,0,50,0,2284.9,-215.1,46.41,181.71,1.0,0.0,0.5,72227
0.3,2.0,2400.0,2600.0,0010100,0,0,50,0,50,0,0,2098.8,-401.2,49.77,169.45,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0011000,0,0,50,50,0,0,0,2088.6,-411.4,48.07,175.46,1.0,0.0,0.5,98122
0.3,2.0,2400.0,2600.0,0100001,0,50,0,0,0,0,50,2170.9,-329.1,49.54,170.24,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0100010,0,50,0,0,0,50,0,2143.9,-356.1,47.63,177.09,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0100100,0,50,0,0,50,0,0,2237.9,-262.1,52.05,162.02,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0101000,0,50,0,50,0,0,0,2166.8,-333.2,49.27,171.18,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,0110000,0,50,50,0,0,0,0,2209.7,-290.3,48.15,175.14,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,1000001,50,0,0,0,0,0,50,2090.6,-409.4,47.74,176.66,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,1000010,50,0,0,0,0,50,0,2245.2,-254.8,45.77,184.28,1.0,0.0,0.5,287155
0.3,2.0,2400.0,2600.0,1000100,50,0,0,0,50,0,0,2110.3,-389.7,49.51,170.34,0.0,0.0,0.0,0
0.3,2.0,2400.0,2600.0,1001000,50,0,0,50,0,0,0,2259.0,-241.0,48.18,175.04,1.0,0.0,0.5,177419
0.3,2.0,2400.0,2600.0,1010000,45,0,48,0,0,0,0,2353.1,-146.9,46.3,182.15,0.0,0.02,0.01,0
0.3,2.0,2400.0,2600.0,1100000,50,50,0,0,0,0,0,2182.0,-318.0,47.78,176.52,1.0,0.0,0.5,13
0.3,2.0,2500.0,2700.0,0000011,0,0,0,0,0,50,50,2064.0,-536.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0000101,0,0,0,0,50,0,50,2082.0,-518.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0000110,0,0,0,0,50,50,0,1905.7,-694.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2500.0,2700.0,0001001,0,0,0,50,0,0,50,2023.6,-576.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0001010,0,0,0,50,0,50,0,2232.1,-367.9,47.82,176.36,1.0,0.0,0.5,183088
0.3,2.0,2500.0,2700.0,0001100,0,0,0,50,50,0,0,1957.6,-642.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2500.0,2700.0,0010001,0,0,50,0,0,0,50,2215.0,-385.0,48.85,172.64,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0010010,0,0,50,0,0,50,0,2284.9,-315.1,46.41,181.71,1.0,0.0,0.5,72227
0.3,2.0,2500.0,2700.0,0010100,0,0,50,0,50,0,0,2098.8,-501.2,49.77,169.45,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0011000,0,0,50,50,0,0,0,2088.6,-511.4,48.07,175.46,1.0,0.0,0.5,98122
0.3,2.0,2500.0,2700.0,0100001,0,50,0,0,0,0,50,2170.9,-429.1,49.54,170.24,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0100010,0,50,0,0,0,50,0,2143.9,-456.1,47.63,177.09,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0100100,0,50,0,0,50,0,0,2237.9,-362.1,52.05,162.02,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0101000,0,50,0,50,0,0,0,2166.8,-433.2,49.27,171.18,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,0110000,0,50,50,0,0,0,0,2209.7,-390.3,48.15,175.14,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,1000001,50,0,0,0,0,0,50,2090.6,-509.4,47.74,176.66,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,1000010,50,0,0,0,0,50,0,2245.2,-354.8,45.77,184.28,1.0,0.0,0.5,287155
0.3,2.0,2500.0,2700.0,1000100,50,0,0,0,50,0,0,2110.3,-489.7,49.51,170.34,0.0,0.0,0.0,0
0.3,2.0,2500.0,2700.0,1001000,50,0,0,50,0,0,0,2259.0,-341.0,48.18,175.04,1.0,0.0,0.5,177419
0.3,2.0,2500.0,2700.0,1010000,47,0,50,0,0,0,0,2456.0,-144.0,46.06,183.1,0.0,0.04,0.02,0
0.3,2.0,2500.0,2700.0,1100000,50,50,0,0,0,0,0,2182.0,-418.0,47.78,176.52,1.0,0.0,0.5,13
0.3,2.0,2600.0,2800.0,0000011,0,0,0,0,0,50,50,2064.0,-636.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0000101,0,0,0,0,50,0,50,2082.0,-618.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0000110,0,0,0,0,50,50,0,1905.7,-794.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2600.0,2800.0,0001001,0,0,0,50,0,0,50,2023.6,-676.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0001010,0,0,0,50,0,50,0,2232.1,-467.9,47.82,176.36,1.0,0.0,0.5,183088
0.3,2.0,2600.0,2800.0,0001100,0,0,0,50,50,0,0,1957.6,-742.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2600.0,2800.0,0010001,0,0,50,0,0,0,50,2215.0,-485.0,48.85,172.64,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0010010,0,0,50,0,0,50,0,2284.9,-415.1,46.41,181.71,1.0,0.0,0.5,72227
0.3,2.0,2600.0,2800.0,0010100,0,0,50,0,50,0,0,2098.8,-601.2,49.77,169.45,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0011000,0,0,50,50,0,0,0,2088.6,-611.4,48.07,175.46,1.0,0.0,0.5,98122
0.3,2.0,2600.0,2800.0,0100001,0,50,0,0,0,0,50,2170.9,-529.1,49.54,170.24,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0100010,0,50,0,0,0,50,0,2143.9,-556.1,47.63,177.09,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0100100,0,50,0,0,50,0,0,2237.9,-462.1,52.05,162.02,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0101000,0,50,0,50,0,0,0,2166.8,-533.2,49.27,171.18,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,0110000,0,50,50,0,0,0,0,2209.7,-490.3,48.15,175.14,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,1000001,50,0,0,0,0,0,50,2090.6,-609.4,47.74,176.66,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,1000010,50,0,0,0,0,50,0,2245.2,-454.8,45.77,184.28,1.0,0.0,0.5,287155
0.3,2.0,2600.0,2800.0,1000100,50,0,0,0,50,0,0,2110.3,-589.7,49.51,170.34,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,1001000,50,0,0,50,0,0,0,2259.0,-441.0,48.18,175.04,1.0,0.0,0.5,177419
0.3,2.0,2600.0,2800.0,1010000,50,0,50,0,0,0,0,2547.6,-152.4,46.04,183.19,0.0,0.0,0.0,0
0.3,2.0,2600.0,2800.0,1100000,50,50,0,0,0,0,0,2182.0,-518.0,47.78,176.52,1.0,0.0,0.5,13
0.3,2.0,2700.0,2900.0,0000011,0,0,0,0,0,50,50,2064.0,-736.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0000101,0,0,0,0,50,0,50,2082.0,-718.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0000110,0,0,0,0,50,50,0,1905.7,-894.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2700.0,2900.0,0001001,0,0,0,50,0,0,50,2023.6,-776.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0001010,0,0,0,50,0,50,0,2232.1,-567.9,47.82,176.36,1.0,0.0,0.5,183088
0.3,2.0,2700.0,2900.0,0001100,0,0,0,50,50,0,0,1957.6,-842.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2700.0,2900.0,0010001,0,0,50,0,0,0,50,2215.0,-585.0,48.85,172.64,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0010010,0,0,50,0,0,50,0,2284.9,-515.1,46.41,181.71,1.0,0.0,0.5,72227
0.3,2.0,2700.0,2900.0,0010100,0,0,50,0,50,0,0,2098.8,-701.2,49.77,169.45,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0011000,0,0,50,50,0,0,0,2088.6,-711.4,48.07,175.46,1.0,0.0,0.5,98122
0.3,2.0,2700.0,2900.0,0100001,0,50,0,0,0,0,50,2170.9,-629.1,49.54,170.24,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0100010,0,50,0,0,0,50,0,2143.9,-656.1,47.63,177.09,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0100100,0,50,0,0,50,0,0,2237.9,-562.1,52.05,162.02,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0101000,0,50,0,50,0,0,0,2166.8,-633.2,49.27,171.18,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,0110000,0,50,50,0,0,0,0,2209.7,-590.3,48.15,175.14,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,1000001,50,0,0,0,0,0,50,2090.6,-709.4,47.74,176.66,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,1000010,50,0,0,0,0,50,0,2245.2,-554.8,45.77,184.28,1.0,0.0,0.5,287155
0.3,2.0,2700.0,2900.0,1000100,50,0,0,0,50,0,0,2110.3,-689.7,49.51,170.34,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,1001000,50,0,0,50,0,0,0,2259.0,-541.0,48.18,175.04,1.0,0.0,0.5,177419
0.3,2.0,2700.0,2900.0,1010000,50,0,50,0,0,0,0,2547.6,-252.4,46.04,183.19,0.0,0.0,0.0,0
0.3,2.0,2700.0,2900.0,1100000,50,50,0,0,0,0,0,2182.0,-618.0,47.78,176.52,1.0,0.0,0.5,13
0.3,2.0,2800.0,3000.0,0000011,0,0,0,0,0,50,50,2064.0,-836.0,47.74,176.67,0.0,0.0,0.0,0
0.3,2.0,2800.0,3000.0,0000101,0,0,0,0,50,0,50,2082.0,-818.0,50.37,167.43,0.0,0.0,0.0,0
0.3,2.0,2800.0,3000.0,0000110,0,0,0,0,50,50,0,1905.7,-994.3,47.79,176.46,1.0,0.0,0.5,7381
0.3,2.0,2800.0,3000.0,0001001,0,0,0,50,0,0,50,2023.6,-876.4,50.55,166.83,0.0,0.0,0.0,0
0.3,2.0,2800.0,3000.0,0001010,0,0,0,50,0,50,0,2232.1,-667.9,47.82,176.36,1.0,0.0,0.5,183088
0.3,2.0,2800.0,3000.0,0001100,0,0,0,50,50,0,0,1957.6,-942.4,49.97,168.79,1.0,0.0,0.5,107
0.3,2.0,2800.0,3000.0,0010001,0,0,50,0,0,0,50,2215.0,-685.0,48.85,172.64,0.0,0.0,0.0,0
0.3,2.0,2800.0,3000.0,0010010,0,0,50,0,0,50,0,2284.9,-615.1,46.41,181.71,1.0,0.0,0.5,72227
